,player_name,game_date,pts,ast,oreb,dreb,stl,blk,tov,fgm,fga,tpm
0,肖恩-利文斯顿,2016-02-23,4,1,0,1,0,2,2,2,2,0
1,肖恩-利文斯顿,2016-03-02,6,3,2,4,2,0,0,3,9,0
2,肖恩-利文斯顿,2015-12-12,12,3,3,0,0,2,1,5,9,0
3,肖恩-利文斯顿,2016-04-02,8,2,0,2,0,1,3,3,4,0
4,肖恩-利文斯顿,2015-10-28,6,2,0,4,0,1,0,3,6,0
5,肖恩-利文斯顿,2015-11-01,2,3,0,1,2,0,2,0,3,0
6,肖恩-利文斯顿,2016-03-15,4,4,0,1,0,0,1,1,2,0
7,肖恩-利文斯顿,2015-11-21,6,1,0,3,0,0,1,3,3,0
8,肖恩-利文斯顿,2016-01-21,12,5,0,0,2,0,1,6,8,0
9,肖恩-利文斯顿,2015-12-03,6,7,0,3,0,0,0,3,5,0
10,肖恩-利文斯顿,2016-01-05,0,1,0,0,0,0,0,0,2,0
11,肖恩-利文斯顿,2015-12-26,16,2,1,2,1,0,4,8,9,0
12,肖恩-利文斯顿,2016-01-19,4,4,0,1,1,0,0,2,2,0
13,肖恩-利文斯顿,2016-06-03,20,3,1,3,1,0,0,8,10,0
14,肖恩-利文斯顿,2016-06-06,7,5,0,2,0,1,1,3,4,0
15,肖恩-利文斯顿,2016-06-09,5,3,1,5,0,1,3,2,3,0
16,肖恩-利文斯顿,2016-06-11,8,1,1,2,0,0,0,3,8,0
17,肖恩-利文斯顿,2016-06-14,7,3,1,3,1,0,3,3,7,0
18,肖恩-利文斯顿,2016-06-17,3,3,0,4,0,0,1,1,6,0
19,肖恩-利文斯顿,2016-06-20,8,2,1,0,0,0,1,3,7,0
20,肖恩-利文斯顿,2015-12-31,8,4,1,0,0,0,0,3,7,0
21,肖恩-利文斯顿,2016-01-28,8,2,1,1,1,0,0,4,5,0
22,肖恩-利文斯顿,2016-03-19,2,5,1,1,2,0,0,1,5,0
23,肖恩-利文斯顿,2016-03-26,6,4,0,2,0,1,1,3,6,0
25,肖恩-利文斯顿,2015-11-07,2,2,2,2,0,1,3,1,2,0
26,肖恩-利文斯顿,2015-11-23,4,3,0,3,2,0,2,2,7,0
27,肖恩-利文斯顿,2016-01-03,8,3,0,0,0,2,1,3,5,0
28,肖恩-利文斯顿,2016-01-14,0,3,0,2,0,0,0,0,1,0
29,肖恩-利文斯顿,2015-11-10,4,2,1,1,1,0,1,2,4,0
30,肖恩-利文斯顿,2016-01-17,5,0,1,1,1,0,1,2,7,0
36,肖恩-利文斯顿,2015-10-31,4,0,0,1,0,0,0,0,3,0
37,肖恩-利文斯顿,2015-11-03,4,2,0,2,0,1,0,2,2,0
38,肖恩-利文斯顿,2015-11-05,4,3,1,2,0,0,2,2,5,0
39,肖恩-利文斯顿,2015-11-08,6,3,0,1,1,0,1,3,5,0
40,肖恩-利文斯顿,2015-11-12,6,2,0,0,1,0,0,3,3,0
41,肖恩-利文斯顿,2015-11-13,8,3,1,0,0,0,0,3,5,0
42,肖恩-利文斯顿,2015-11-15,6,2,1,0,0,0,0,3,8,0
43,肖恩-利文斯顿,2015-11-25,6,3,1,0,0,0,1,3,4,0
44,肖恩-利文斯顿,2015-11-28,4,3,0,2,0,0,0,0,2,0
45,肖恩-利文斯顿,2015-11-29,7,3,1,1,0,0,0,3,5,0
46,肖恩-利文斯顿,2015-12-01,9,0,0,3,0,0,2,3,7,1
47,肖恩-利文斯顿,2015-12-06,4,1,2,0,0,1,1,2,4,0
48,肖恩-利文斯顿,2015-12-07,4,4,2,0,1,0,1,2,6,0
49,肖恩-利文斯顿,2015-12-09,8,0,0,2,0,0,0,3,3,0
50,肖恩-利文斯顿,2015-12-13,4,2,1,0,2,0,0,2,6,0
51,肖恩-利文斯顿,2015-12-17,2,4,0,2,1,1,1,0,3,0
52,肖恩-利文斯顿,2015-12-19,4,5,0,2,0,0,0,2,6,0
53,肖恩-利文斯顿,2015-12-24,9,4,0,1,0,1,0,4,8,0
54,肖恩-利文斯顿,2015-12-29,8,3,2,2,2,0,1,4,9,0
55,肖恩-利文斯顿,2016-01-01,13,7,2,2,2,0,3,6,12,0
56,肖恩-利文斯顿,2016-01-09,5,3,0,1,1,0,0,2,7,0
57,肖恩-利文斯顿,2016-01-10,6,4,0,3,0,1,1,3,3,0
58,肖恩-利文斯顿,2016-01-12,2,6,2,2,0,0,1,1,3,0
59,肖恩-利文斯顿,2016-01-15,17,4,1,0,0,0,1,6,8,0
60,肖恩-利文斯顿,2016-01-23,6,2,0,1,1,0,1,2,4,0
61,肖恩-利文斯顿,2016-01-26,13,2,0,2,2,0,3,6,6,0
62,肖恩-利文斯顿,2016-01-31,4,4,0,1,0,0,1,2,4,0
63,肖恩-利文斯顿,2016-02-01,11,3,0,0,2,0,1,4,4,1
64,肖恩-利文斯顿,2016-02-04,9,6,0,2,2,0,3,4,5,0
65,肖恩-利文斯顿,2016-02-07,10,2,0,1,1,0,0,4,7,0
66,肖恩-利文斯顿,2016-02-10,4,2,0,2,1,0,1,1,2,0
67,肖恩-利文斯顿,2016-02-11,8,2,0,3,1,0,2,2,4,0
68,肖恩-利文斯顿,2016-02-20,0,1,0,1,0,0,2,0,2,0
69,肖恩-利文斯顿,2016-02-21,2,1,0,3,0,1,1,1,2,0
70,肖恩-利文斯顿,2016-02-25,4,4,0,1,0,0,1,2,7,0
71,肖恩-利文斯顿,2016-02-26,4,1,0,4,1,0,1,1,4,0
72,肖恩-利文斯顿,2016-02-28,7,2,0,3,1,0,1,3,5,0
