"game_date","pts","ast","oreb","dreb","stl","blk","tov","fgm","fga","tpm"
2016-10-26,26,4,0,3,0,0,4,9,18,3
2016-10-29,23,7,1,0,1,0,4,8,19,4
2016-10-31,28,3,0,1,0,0,1,9,17,5
2016-11-02,28,3,1,3,1,0,4,10,21,5
2016-11-04,21,7,0,1,2,1,1,6,14,2
2016-11-05,13,11,0,8,2,1,2,5,17,0
2016-11-08,46,5,3,2,2,0,4,16,26,13
2016-11-10,24,6,0,3,1,0,5,8,12,4
2016-11-11,33,7,1,4,1,0,4,10,17,7
2016-11-14,30,6,0,6,2,0,3,9,17,5
2016-11-17,35,7,2,1,1,0,3,10,19,3
2016-11-19,16,7,0,2,3,2,2,7,20,2
2016-11-20,20,5,0,5,1,0,3,7,21,1
2016-11-22,22,6,2,4,1,0,1,6,11,2
2016-11-24,31,9,0,5,1,0,1,11,18,7
2016-11-26,24,5,2,3,3,0,3,8,17,4
2016-11-27,34,6,1,7,2,0,6,13,19,4
2016-11-29,25,3,0,3,2,0,3,6,17,4
2016-12-02,28,5,1,2,3,1,5,9,22,4
2016-12-04,31,2,0,2,1,0,3,10,15,5
2016-12-06,13,11,0,4,2,1,0,4,10,2
2016-12-08,19,6,0,4,7,0,3,7,16,0
2016-12-09,26,2,0,5,2,0,3,7,16,3
2016-12-11,17,3,2,6,0,0,4,4,14,3
2016-12-12,22,9,1,3,1,0,0,6,13,2
2016-12-14,30,7,2,2,1,0,2,11,23,5
2016-12-16,8,8,1,9,1,0,3,3,14,2
2016-12-18,19,6,0,3,0,0,3,6,11,5
2016-12-21,25,4,0,3,3,0,0,8,18,4
2016-12-23,15,7,0,2,5,0,2,6,19,3
2016-12-24,25,8,0,3,2,0,5,7,15,5
2016-12-26,15,3,0,3,3,0,3,4,11,2
2016-12-29,28,7,1,6,0,0,2,9,18,3
2016-12-31,14,5,0,4,1,0,1,5,12,3
2017-01-03,22,5,0,3,0,0,3,8,18,3
2017-01-05,35,5,1,6,1,0,5,12,25,5
2017-01-07,40,6,0,4,1,1,4,15,27,5
2017-01-09,30,6,2,2,2,0,4,11,22,5
2017-01-11,24,9,1,7,1,1,3,8,21,4
2017-01-13,24,6,0,2,5,0,8,9,17,3
2017-01-17,20,11,0,2,4,0,3,7,20,5
2017-01-19,24,8,0,4,3,0,3,9,19,2
2017-01-21,24,7,0,1,1,0,1,8,18,5
2017-01-23,27,6,1,3,0,0,3,8,15,7
2017-01-24,21,8,0,10,0,1,4,7,19,3
2017-01-26,28,6,0,2,1,1,4,11,23,6
2017-01-29,43,6,0,9,0,0,2,15,23,9
2017-02-02,39,8,1,4,3,0,1,14,20,11
2017-02-03,29,11,1,2,3,0,4,11,23,3
2017-02-05,35,9,0,4,3,0,3,11,20,8
2017-02-09,13,6,0,1,1,0,2,5,11,1
2017-02-11,18,5,0,4,0,0,3,6,13,2
2017-02-12,26,9,3,5,2,0,0,9,19,4
2017-02-14,11,5,1,1,1,0,1,4,18,1
2017-02-16,13,9,0,6,0,2,3,4,14,2
2017-02-20,21,6,1,3,1,0,0,8,16,5
2017-02-24,35,5,1,6,4,0,4,10,16,6
2017-02-26,27,5,1,4,3,0,4,9,21,5
2017-02-28,19,6,2,2,2,0,4,7,23,0
2017-03-01,25,4,4,3,3,0,5,9,20,2
2017-03-03,23,5,1,5,5,0,4,10,27,2
2017-03-06,31,6,2,6,2,0,2,11,24,5
2017-03-07,24,9,1,3,0,0,2,8,20,6
2017-03-09,23,6,3,2,0,1,4,8,16,2
2017-03-11,26,7,3,3,1,0,6,10,27,1
2017-03-15,29,5,2,4,3,0,5,8,23,5
2017-03-17,25,9,0,1,3,0,2,8,15,2
2017-03-19,28,4,0,4,1,1,3,9,13,6
2017-03-21,23,6,0,4,0,0,5,8,17,7
2017-03-22,17,9,1,4,2,0,0,7,14,3
2017-03-25,27,12,1,6,6,0,3,9,18,5
2017-03-27,21,11,0,1,4,0,5,8,18,5
2017-03-29,32,7,2,8,2,0,6,11,22,3
2017-03-30,29,11,0,3,1,0,2,9,20,4
2017-04-01,24,5,3,4,2,0,2,8,18,4
2017-04-03,42,8,0,1,1,0,1,15,22,9
2017-04-05,19,9,0,3,3,2,3,7,18,3
2017-04-06,42,11,1,4,2,2,3,15,26,8
2017-04-11,28,4,1,3,1,0,1,9,16,6
2017-04-13,20,8,0,5,2,0,5,6,17,5
2017-04-17,29,4,1,4,1,1,5,9,19,3
2017-04-20,19,6,1,5,4,1,4,6,18,4
2017-04-23,34,8,1,3,2,1,1,10,25,5
2017-04-25,37,8,2,5,2,0,4,12,20,7
2017-05-03,22,5,1,6,1,0,4,7,11,1
2017-05-05,23,7,1,3,2,0,3,8,15,5
2017-05-07,23,4,0,5,0,0,0,6,20,3
2017-05-09,30,7,1,4,0,1,2,9,15,4
2017-05-15,40,3,2,5,3,0,4,14,26,7
2017-05-17,29,7,2,5,3,0,2,8,13,6
2017-05-21,21,3,1,4,6,0,5,8,15,3
2017-05-23,36,6,0,5,0,0,6,14,24,5
2017-06-02,28,10,1,5,3,1,2,11,22,6
2017-06-05,32,11,2,8,1,0,8,7,17,4
2017-06-08,26,6,5,8,2,0,1,8,19,5
2017-06-10,14,10,1,4,2,0,4,4,13,2
2017-06-13,34,10,2,4,3,0,4,10,20,2
