"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
1,"凯尔-科沃尔",10.12,1.64,0.13,2.66,0.49,0.31,1.03,3.57,7.66,2.42,26.13,"骑士",2.5
2,"蒂亚戈-斯普利特",4.33,0.44,0.89,1.56,0.11,0.11,0.67,1.56,3.44,0.22,8.56,"76人",5
3,"保罗-米尔萨普",17.87,3.63,1.59,6.13,1.3,0.87,2.29,6.17,13.94,1.09,33.66,"老鹰",4
4,"萨博-塞福洛沙",7.16,1.73,0.84,3.52,1.48,0.5,0.95,2.81,6.35,0.66,25.73,"老鹰",2.5
5,"杰夫-蒂格",15.29,7.78,0.39,3.66,1.24,0.39,2.63,4.9,11.07,1.1,32.44,"步行者",1
7,"丹尼斯-施罗德",17.9,6.35,0.53,2.65,0.92,0.2,3.24,6.94,15.39,1.27,31.49,"老鹰",1
8,"迈克-穆斯卡拉",6.21,1.34,1.1,2.33,0.41,0.63,0.77,2.43,4.81,0.66,17.71,"老鹰",4.5
9,"小蒂姆-哈达威",14.47,2.32,0.44,2.39,0.7,0.2,1.35,5.25,11.54,1.89,27.23,"老鹰",2
10,"埃迪-塔瓦雷斯",4,0.5,2,3.5,0,3,1,2,2.5,0,14,"骑士",5
13,"德安德鲁-本布里",2.81,0.81,0.39,1.25,0.22,0.14,0.44,1.31,2.72,0.03,10.28,"老鹰",3
14,"阿米尔-约翰逊",6.5,1.76,1.45,3.09,0.64,0.79,0.98,2.66,4.61,0.34,20.11,"凯尔特人",4
15,"约纳斯-杰雷布科",3.83,0.92,0.77,2.71,0.35,0.23,0.5,1.46,3.35,0.58,15.83,"凯尔特人",3.5
16,"埃弗里-布拉德利",16.25,2.18,1.18,4.91,1.25,0.2,1.62,6.53,14.11,1.96,33.4,"凯尔特人",2
17,"以赛亚-托马斯",28.82,5.87,0.57,2.12,0.9,0.16,2.71,8.95,19.3,3.23,33.64,"凯尔特人",1
18,"泰勒-泽勒",3.49,0.82,0.84,1.59,0.14,0.45,0.39,1.53,3.1,0,10.29,"凯尔特人",5
20,"杰-克劳德",13.88,2.15,0.68,5.11,0.99,0.32,1.11,4.62,10,2.18,32.42,"凯尔特人",3.5
21,"凯利-奥利尼克",9.04,1.97,0.96,3.84,0.56,0.37,1.28,3.47,6.8,0.91,20.45,"凯尔特人",4.5
22,"马库斯-斯马特",10.57,4.62,0.99,2.89,1.57,0.42,2.01,3.41,9.47,1.19,30.43,"凯尔特人",1.5
23,"詹姆斯-杨",2.34,0.14,0.21,0.69,0.34,0.07,0.14,0.86,2,0.41,7.62,"凯尔特人",2.5
25,"特里-罗齐尔",5.54,1.74,0.54,2.51,0.61,0.11,0.64,2.04,5.57,0.77,17.15,"凯尔特人",1.5
27,"乔丹-米基",1.65,0.3,0.57,0.91,0.13,0.26,0.39,0.65,1.48,0,6.17,"凯尔特人",4
28,"杰伦-布朗",6.6,0.82,0.58,2.26,0.47,0.23,0.87,2.46,5.44,0.59,17.23,"凯尔特人",3
29,"迪米特里厄斯-杰克逊",3.33,1,0.67,0.67,0,0,0,1,1.33,0.33,5.67,"凯尔特人",1
34,"阿莱克西-阿金萨",5.31,0.31,1.18,3.31,0.49,0.59,0.79,2.28,4.56,0,15.03,"鹈鹕",5
35,"欧米尔-阿西克",2.59,0.47,1.47,3.59,0.12,0.38,0.44,0.94,2,0,15.09,"鹈鹕",5
36,"朱-霍勒迪",15.36,7.31,0.66,3.22,1.49,0.63,2.87,6.04,13.34,1.49,32.61,"鹈鹕",1.5
37,"泰瑞克-埃文斯",10.28,3.12,0.3,3.1,0.88,0.2,1.52,3.75,9.25,1.05,19.7,"国王",2.5
39,"丹特-坎宁安",6.59,0.53,0.88,3.33,0.59,0.44,0.42,2.64,5.45,1.08,24.98,"鹈鹕",3.5
40,"卢克-巴比特",4.76,0.51,0.19,1.88,0.32,0.16,0.37,1.66,4.13,1.28,15.69,"热火",3.5
42,"安东尼-戴维斯",28.33,2.08,2.38,9.57,1.3,2.21,2.39,10.49,20.62,0.53,36,"鹈鹕",4.5
43,"詹姆斯-恩尼斯",6.7,1,1.09,2.98,0.72,0.3,0.92,2.28,5.03,0.8,23.48,"灰熊",2.5
44,"蒂姆-弗雷泽",7.17,5.15,0.49,2.12,0.83,0.09,1.58,2.52,6.23,0.62,23.43,"鹈鹕",1
45,"巴迪-希尔德",10.56,1.46,0.44,2.85,0.46,0.12,1.23,3.99,9.35,1.8,22.96,"国王",2
